"Gene","Frequencia_afetacoes","Percentual"
"LOC129936205",4,0.04
"LOC129936206",4,0.04
"LOC129936207",4,0.04
"LOC129936208",4,0.04
"LOC129936209",4,0.04
"LOC129936210",4,0.04
"LOC129936211",4,0.04
"LOC129936212",4,0.04
"LOC129936213",4,0.04
"LOC129936214",4,0.04
"LOC129936215",4,0.04
"LOC129936216",4,0.04
"LOC129936217",4,0.04
"LOC129936218",4,0.04
"LOC129936219",4,0.04
"LOC129936220",4,0.04
"LOC129936221",4,0.04
"LOC129936222",4,0.04
"LOC129936223",4,0.04
"LOC129936224",4,0.04
"LOC129936225",4,0.04
"LOC129936226",4,0.04
"LOC129936227",4,0.04
"LOC129936228",4,0.04
"LOC129936229",4,0.04
"LOC129936230",4,0.04
"LOC129936231",4,0.04
"LOC129936232",4,0.04
"LOC129936233",4,0.04
"LOC129936234",4,0.04
"LOC129936235",4,0.04
"LOC129936236",4,0.04
"LOC129936237",4,0.04
"LOC129936238",4,0.04
"LOC129936239",4,0.04
"LOC129936240",4,0.04
"LOC129936241",4,0.04
"LOC129936242",4,0.04
"LOC129936243",4,0.04
"LOC129936244",4,0.04
"LOC129936245",4,0.04
"LOC129936246",4,0.04
"LOC129936247",4,0.04
"LOC129936248",4,0.04
"LOC129936249",4,0.04
"LOC129936250",4,0.04
"LOC129936251",4,0.04
"LOC129936252",4,0.04
"LOC129936253",4,0.04
"LOC129936254",4,0.04
"LOC129936255",4,0.04
"LOC129936256",4,0.04
"LOC129936257",4,0.04
"LOC129936258",4,0.04
"LOC129936259",4,0.04
"LOC129936260",4,0.04
"LOC129936261",4,0.04
"LOC129936262",4,0.04
"LOC129936263",4,0.04
"LOC129936264",4,0.04
"LOC129936265",4,0.04
"LOC129936266",4,0.04
"LOC129936267",4,0.04
"LOC129936268",4,0.04
"LOC129936269",4,0.04
"LOC129936270",4,0.04
"LOC129936271",4,0.04
"LOC129936272",4,0.04
"LOC129936273",4,0.04
"LOC129936274",4,0.04
"LOC129936275",4,0.04
"LOC129936276",4,0.04
"LOC129936277",4,0.04
"LOC129936278",4,0.04
"LOC129936279",4,0.04
"LOC129936280",4,0.04
"LOC129936281",4,0.04
"LOC129936282",4,0.04
"LOC129936283",4,0.04
"LOC129936284",4,0.04
"LOC129936285",4,0.04
"LOC129936286",4,0.04
"LOC129936287",4,0.04
"LOC129936288",4,0.04
"LOC129936289",4,0.04
"LOC129936290",4,0.04
"LOC129936291",4,0.04
"LOC129936292",4,0.04
"LOC129936293",4,0.04
"LOC129936294",4,0.04
"LOC129936295",4,0.04
"LOC129936296",4,0.04
"LOC129936297",4,0.04
"LOC129936298",4,0.04
"LOC129936299",4,0.04
"LOC129936300",4,0.04
"LOC129936301",4,0.04
"LOC129936302",4,0.04
"LOC129936303",4,0.04
"LOC129936304",4,0.04
"LOC129936305",4,0.04
"LOC129936306",4,0.04
"LOC129936307",4,0.04
"LOC129936308",4,0.04
"LOC129936309",4,0.04
"LOC129936310",4,0.04
"LOC129936311",4,0.04
"LOC129936312",4,0.04
"LOC129936313",4,0.04
"LOC129936314",4,0.04
"LOC129936315",4,0.04
"LOC129936316",4,0.04
"LOC129936317",4,0.04
"LOC129936318",4,0.04
"LOC129936319",4,0.04
"LOC129936320",4,0.04
"LOC129936321",4,0.04
"LOC129936322",4,0.04
"LOC129936323",4,0.04
"LOC129936324",4,0.04
"LOC129936325",4,0.04
"LOC129936326",4,0.04
"LOC129936327",4,0.04
"LOC129936328",4,0.04
"LOC129936329",4,0.04
"LOC129936330",4,0.04
"LOC129936331",4,0.04
"LOC129936332",4,0.04
"LOC129936333",4,0.04
"LOC129936334",4,0.04
"LOC129936335",4,0.04
"LOC129936336",4,0.04
"LOC129936337",4,0.04
"LOC129936338",4,0.04
"LOC129936339",4,0.04
"LOC129936340",4,0.04
"LOC129936341",4,0.04
"LOC129936342",4,0.04
"LOC129936343",4,0.04
"LOC129936344",4,0.04
"LOC129936345",4,0.04
